gender,grade,age,NMP_1,NMP_2,NMP_3,NMP_4,NMP_5,NMP_6,NMP_7,NMP_8,NMP_9,NMP_10,NMP_11,NMP_12,NMP_13,NMP_14,NMP_15,NMP_16,SAPS_1,SAPS_2,SAPS_3,SAPS_4,SAPS_5,SAPS_6,SAPS_7,SAPS_8,SAPS_9,SAPS_10,SPAI_1,SPAI_2,SPAI_3,SPAI_4,SPAI_5,SPAI_6,SPAI_7,SPAI_8,SPAI_9,SPAI_10,SPAI_11,SPAI_12,SPAI_13,SPAI_14,SPAI_15,SPAI_16,SPAI_17,SPAI_18,SPAI_19,SPAI_20,MPAS_1,MPAS_2,MPAS_3,MPAS_4,MPAS_5,MPAS_6,MPAS_7,MPAS_8,MPAS_9,MPAS_10,MPAS_11,MPATS1,MPATS2,MPATS3,MPATS4,MPATS5,MPATS6,MPATS7,MPATS8,MPATS9,MPATS10,MPATS11,MPATS12,MPATS13,MPATS14,MPATS15,MPATS16,SAS_C1,SAS_C2,SAS_C3,SAS_C4,SAS_C5,SAS_C6,SAS_C7,SAS_C8,SAS_C9,SAS_C10,SAS_C11,SAS_CA1,SAS_CA2,SAS_CA3,SAS_CA4,SAS_CA5,SAS_CA6,SAS_CA7,SAS_CA8,SAS_CA9,SAS_CA10,SAS_CA11,SAS_CA12,SAS_CA13,SAS_CA14
2,5,29,5,1,1,5,5,5,1,1,5,5,5,1,1,1,1,1,2,2,1,2,3,3,2,3,2,3,2,1,1,2,2,1,2,2,2,2,1,2,3,2,2,3,2,2,2,1,3,1,1,1,1,1,3,1,1,1,1,2,2,2,2,2,2,1,3,1,1,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2
2,5,26,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3,2,2,3,3,3,3,3,3,2,3,3,2,2,3,2,2,2,2,2,2,3,3,3,3,3,3,3,2,1,1,1,3,3,3,3,3,3,2,1,5,2,3,3,3,3,3,5,5,2,4,4,2,3,3,1,1,1,5,3,2,5,3,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,5,23,5,3,2,3,5,5,5,1,6,6,7,6,2,2,2,3,1,1,1,1,2,2,2,2,1,2,2,1,2,3,2,2,2,1,2,1,3,2,3,1,1,2,1,1,1,1,2,1,1,3,3,1,4,3,2,2,3,4,1,1,2,2,1,2,4,2,3,1,3,2,1,1,2,1,1,1,1,4,1,2,1,1,1,1,1,1,1,3,2,2,2,2,1,1,1,3,3,2
2,5,23,5,4,3,4,5,3,5,6,6,4,5,5,6,6,6,6,3,3,2,3,2,3,2,2,3,4,2,3,3,2,2,1,1,3,2,2,2,2,3,3,3,3,2,2,2,2,2,2,3,4,3,4,4,3,3,4,2,4,4,2,4,2,3,4,3,2,3,4,4,2,3,3,4,2,3,2,2,4,3,2,2,4,2,2,4,4,4,2,4,4,2,3,2,2,2,2,3,2
2,5,23,5,5,3,5,5,3,4,5,3,5,4,5,3,5,4,5,2,2,2,2,3,2,2,2,2,3,2,2,2,1,1,1,2,1,1,2,2,2,2,1,3,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,2,3,2,2,1,2,2,2,1,2,1,1,1,1,2,3,2,2,1,1,2,2,2,3,1,2,1,3,1,2,2,1,1,3,1
2,5,24,6,5,5,7,6,3,7,7,7,7,7,7,7,3,3,6,1,4,3,3,1,3,1,4,3,3,1,3,2,1,3,1,1,3,1,1,3,2,4,3,2,4,1,1,1,1,1,1,1,1,3,4,5,1,1,3,4,5,1,2,5,3,3,3,5,1,1,1,5,1,1,3,1,1,1,3,1,1,4,3,3,4,4,3,3,3,5,5,5,1,1,3,1,1,1,4,3,4
2,5,23,3,5,2,5,6,1,5,2,5,4,5,1,2,5,5,5,1,1,2,3,2,3,3,4,2,3,1,1,1,1,1,1,1,2,3,1,1,2,3,1,1,3,1,1,2,1,1,1,2,4,2,2,2,3,3,4,2,3,4,1,2,3,3,2,2,1,1,4,1,1,2,3,4,1,1,1,1,1,3,1,1,1,1,1,1,2,2,4,3,2,2,3,1,2,4,1,1,1
2,5,22,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,1,3,1,3,3,1,2,2,2,2,3,2,2,2,3,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,2,1,1
2,5,21,5,5,5,4,5,5,5,5,5,5,5,5,5,6,6,6,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,3,3,3,3,3,2,3,2,2,2,2,1,1,1,3,2,2,3,3,3,3,3,3,3,2,3,3,3,3,2,2,2,3,3,2,3,2,4,2,3,3,3,4,2,3,2,2,2,2,3,2,3,3,3,3,2,3,2,2,2,3,3,2
1,5,24,4,3,6,4,3,3,5,4,7,7,5,4,5,3,4,3,4,3,2,2,2,3,2,3,3,2,3,3,2,3,2,3,2,3,3,2,3,2,2,2,2,2,3,2,3,2,1,1,1,3,4,4,3,2,4,3,2,5,1,3,3,2,1,3,2,4,3,3,2,3,3,3,2,3,3,2,4,3,2,3,3,2,3,2,3,4,3,3,3,3,3,4,4,3,2,2,2,3
1,5,25,6,5,6,5,7,7,6,4,6,5,5,5,6,7,7,6,2,1,2,2,2,2,3,3,2,3,2,3,1,3,3,1,3,1,1,3,1,2,3,2,2,3,2,1,3,1,1,3,1,1,3,3,2,3,4,3,4,3,4,2,4,4,4,3,4,5,4,3,3,1,3,3,3,1,3,2,1,2,4,3,4,4,2,3,2,2,3,5,3,2,4,3,3,2,4,2,4,3
1,5,23,5,3,3,3,6,6,6,6,5,5,5,5,5,5,5,5,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,3,3,2,3,2,3,2,2,3,2,2,3,4,4,4,4,4,3,3,3,2,3,4,1,3,4,4,3,3,4,4,2,4,1,2,2,3,2,2,3,4,2,2,4,2,2,3,4,4,2,3,2,2,3,2,2,3,3,2,3
1,5,23,2,2,5,6,3,5,3,3,3,3,6,5,5,3,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,3,3,3,2,1,1,1,1,2,1,1,1,1,1,3,1,3,2,3,2,1,2,1,1,1,1,1,3,1,2,1,2,1,2,1,2,1,4,2,2,3,2,2,2,1,2,1,1,1,1,1,1,5,2,2,2,2,2,2,2
2,5,23,4,5,2,5,7,7,7,7,6,5,6,6,7,7,7,7,3,2,2,3,3,3,3,4,3,3,1,3,3,3,3,1,2,3,4,1,4,3,4,4,3,4,4,1,3,1,1,1,3,5,5,4,1,5,5,2,3,4,5,3,4,3,5,5,5,5,2,4,4,1,1,1,4,1,2,1,3,3,4,1,1,4,1,1,5,5,3,5,4,5,3,5,1,1,1,5,5,4
2,5,25,5,6,6,5,5,5,6,5,6,7,6,6,5,6,5,7,2,3,3,3,2,3,2,4,3,3,3,2,2,2,3,1,3,3,3,3,4,2,3,3,2,3,3,2,3,1,1,1,1,1,3,3,4,4,4,4,2,4,4,3,4,3,4,3,3,2,4,4,4,2,2,2,3,1,2,2,2,4,3,2,2,4,2,1,3,4,3,4,4,3,3,4,2,2,4,5,5,2
2,5,22,5,5,4,5,5,5,5,5,4,4,4,4,4,4,4,4,1,3,2,3,2,3,2,2,3,2,2,3,2,3,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,3,2,2,2,2,3,3,2,3,3,3,4,4,4,3,2,4,4,4,3,3,2,4,2,3,2,4,2,2,2,2,3,3,2,2,3,2,2,3,3,3,3,3,3,3,3,2,2,2,3,2,2
2,5,23,2,2,2,3,6,6,5,6,7,5,6,6,6,5,6,6,2,3,2,3,3,3,3,3,3,3,2,2,2,2,2,1,1,2,2,2,3,3,3,2,2,3,3,2,2,1,1,1,1,3,3,3,4,4,4,2,3,4,4,3,3,3,4,4,3,2,4,4,4,2,2,2,4,2,3,3,1,3,4,2,2,4,2,1,3,4,3,4,4,3,4,3,2,2,3,4,2,2
2,5,22,5,5,5,5,7,5,5,5,6,5,6,5,6,5,5,7,2,3,3,4,3,3,2,3,4,4,2,3,2,3,2,2,3,3,3,3,3,2,4,2,3,3,2,2,2,2,1,1,1,5,5,5,5,5,5,3,2,5,4,3,5,4,4,3,4,3,4,3,5,2,4,4,4,2,3,4,2,2,5,3,2,5,1,3,4,5,5,4,2,3,3,4,2,2,3,4,4,3
2,5,23,5,5,3,5,5,1,4,6,5,5,4,2,3,4,5,4,2,3,2,2,2,2,3,3,3,3,3,2,2,2,2,2,3,2,3,3,3,3,2,3,2,3,2,2,2,2,3,1,1,1,3,3,4,4,4,4,4,2,3,4,4,3,2,3,2,2,2,2,4,2,3,2,4,2,2,4,3,4,1,2,4,3,2,3,4,4,4,3,4,4,2,3,2,2,4,4,4,2
2,5,23,5,2,2,1,7,3,3,4,6,2,6,4,3,3,3,5,2,4,3,3,1,3,2,2,2,3,2,3,4,1,1,1,1,2,1,1,2,2,3,2,2,3,1,1,1,1,1,1,3,4,3,2,5,2,3,2,1,4,1,1,2,1,4,1,1,1,1,2,4,2,3,1,2,1,1,1,1,3,1,1,1,3,1,1,2,3,3,4,2,1,1,2,1,1,1,1,1,1
2,5,23,3,2,3,2,6,5,4,5,6,5,5,5,5,4,5,5,2,2,2,2,3,2,3,3,2,3,1,2,2,2,1,1,1,2,1,1,2,2,3,2,2,3,2,1,2,2,3,1,3,1,3,2,4,3,4,2,3,4,2,1,2,2,2,3,2,2,2,4,2,1,2,3,3,1,2,2,3,2,4,2,4,2,4,2,2,2,3,3,3,2,1,2,2,2,3,3,1,1
2,5,23,5,5,3,5,2,3,4,5,5,5,5,3,5,4,4,3,2,3,2,2,3,3,2,3,3,3,2,2,3,3,3,2,1,2,2,2,3,3,2,3,3,3,2,2,3,1,3,2,3,2,4,4,4,2,2,3,3,3,3,2,2,2,4,3,4,2,3,3,3,2,3,3,4,2,2,2,3,3,2,3,3,3,3,3,3,3,3,4,3,4,4,3,2,2,2,3,3,2
2,5,22,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,4,3,3,3,4,3,3,3,3,3,4,1,4,4,1,1,1,3,3,1,1,4,1,1,4,1,1,1,2,1,1,1,5,5,5,5,3,4,1,5,5,5,1,5,5,5,5,5,1,5,5,5,1,5,1,5,1,1,1,1,1,5,1,1,3,1,1,5,5,5,5,5,2,1,1,1,1,2,1,1,1
2,5,22,6,7,6,7,7,3,5,3,7,4,7,5,2,5,1,3,1,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,4,1,1,1,1,1,1,4,3,3,3,5,5,5,5,1,5,1,2,3,1,1,1,3,1,4,2,1,1,3,1,1,1,1,1,1,4,5,1,1,1,1,1,1,1,3,4,4,1,1,3,1,1,1,1,2,1
2,5,24,4,3,5,4,4,5,4,5,3,4,4,4,3,3,4,5,2,2,2,2,2,2,2,2,3,2,3,2,2,3,2,2,2,3,2,3,4,2,2,3,3,3,2,2,3,2,4,3,3,4,4,2,2,3,3,4,4,4,3,2,3,2,3,4,4,2,3,3,4,3,4,3,4,3,2,3,3,4,4,2,2,2,2,2,2,3,4,4,1,3,3,3,2,3,2,4,4,3
2,5,23,2,3,2,5,3,3,3,1,5,5,5,5,3,5,5,5,1,2,1,2,2,2,1,3,2,3,1,2,1,1,1,1,3,2,2,1,2,2,2,3,3,2,2,2,2,1,1,1,1,1,2,2,1,4,4,3,2,4,3,1,2,3,2,2,2,2,1,1,3,1,1,2,2,1,1,1,1,2,3,1,2,2,3,1,1,1,1,3,3,2,3,2,2,2,3,3,2,2
2,5,22,3,3,4,5,5,2,2,2,5,5,5,3,3,4,5,5,1,1,1,2,2,2,2,3,1,2,2,2,2,4,2,3,3,2,2,2,2,3,3,3,2,2,2,2,2,1,3,1,1,1,3,1,3,3,3,1,3,4,2,1,2,2,1,2,4,1,3,2,1,1,2,2,2,2,2,4,3,2,2,2,3,2,2,2,2,2,2,3,2,1,3,2,4,4,2,4,2,2
2,5,24,5,6,3,7,6,4,6,6,5,6,6,6,6,5,6,6,2,3,3,3,2,4,2,3,3,3,3,3,2,3,2,3,2,3,3,2,3,2,3,2,3,3,2,2,1,1,3,1,4,3,3,4,4,5,5,4,3,5,3,2,4,2,3,3,3,2,2,4,4,3,4,2,4,2,4,3,2,2,3,1,4,1,2,1,4,4,4,4,4,2,1,4,2,2,3,4,4,3
2,5,25,2,5,2,6,3,2,3,2,5,5,6,2,2,1,1,1,2,3,2,2,2,2,3,3,1,3,2,2,2,2,1,1,2,3,2,2,3,2,3,3,3,2,2,2,1,1,1,1,1,1,2,1,2,1,2,2,2,4,1,3,3,3,3,2,3,4,2,4,3,2,2,3,2,1,1,2,1,2,3,2,3,3,1,1,2,2,3,3,2,2,2,3,2,2,3,4,2,2
2,5,24,2,5,3,4,5,2,2,5,5,5,6,5,3,3,3,3,1,1,1,2,2,2,2,2,1,2,1,1,3,1,1,1,4,2,2,2,4,4,4,3,3,3,2,2,1,1,1,1,3,3,3,2,5,2,3,1,3,4,4,1,2,2,2,4,2,3,1,3,2,1,2,2,3,1,1,3,3,2,4,3,3,2,4,3,2,2,2,4,1,4,3,3,2,2,4,2,4,4
2,5,22,5,4,4,4,3,5,2,4,4,3,4,3,4,3,3,4,1,2,1,1,2,2,3,3,2,3,3,2,1,2,2,1,1,2,2,2,3,3,2,2,4,3,2,1,1,1,1,1,1,1,2,2,2,3,4,4,3,3,3,2,3,4,3,3,3,3,3,1,3,1,2,2,2,2,3,4,3,3,3,3,3,3,2,2,3,3,3,2,4,2,1,2,1,2,3,3,2,1
2,5,26,2,4,3,5,1,5,3,5,2,2,2,1,1,1,1,1,1,1,1,2,1,2,1,2,2,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,2,2,2,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,2,2,1,1,2,1,1,1,1,1,1
2,5,22,2,2,4,3,3,3,3,2,5,5,5,4,4,2,3,3,1,2,2,2,2,2,1,3,2,2,1,1,1,1,1,1,3,1,1,2,2,1,3,2,2,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,4,1,1,2,1,1,2,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2
2,5,24,2,5,4,5,2,2,2,2,2,2,5,4,3,5,3,4,2,2,2,2,1,2,2,3,2,3,2,3,2,3,3,1,2,2,2,2,4,2,3,3,2,2,2,1,2,1,1,1,1,1,3,3,4,3,5,2,3,3,2,2,2,4,2,3,2,1,2,2,4,2,2,3,2,2,1,2,3,2,3,2,4,2,3,2,2,2,2,2,3,2,3,2,2,4,3,3,4,3
2,5,23,5,5,5,6,3,3,5,3,6,5,5,5,5,5,5,5,1,2,2,3,1,3,1,3,2,3,3,3,2,3,2,1,1,2,2,3,3,3,3,1,2,3,3,3,2,1,1,1,3,2,4,4,4,3,4,3,3,5,2,2,4,2,4,4,4,2,4,4,4,2,4,3,3,2,2,2,3,4,5,4,3,4,2,2,4,4,4,4,3,3,2,2,2,2,3,4,4,2
2,5,26,5,5,3,5,4,3,5,5,5,5,5,3,3,2,3,5,2,3,1,3,2,3,2,2,2,2,3,2,2,3,2,3,1,1,2,2,3,3,3,2,3,3,2,3,2,2,1,1,1,4,2,3,4,2,2,1,2,4,2,4,3,1,4,2,4,2,1,1,2,4,3,2,2,4,2,3,3,2,4,2,4,3,2,2,2,2,3,4,3,2,2,3,2,4,2,4,4,4
2,5,22,6,5,5,3,5,6,4,4,5,5,5,5,4,3,6,6,2,2,1,2,2,3,2,3,3,2,2,2,2,2,2,1,1,2,2,2,2,2,3,3,2,3,2,2,2,2,1,1,1,1,2,2,2,2,2,1,2,5,2,2,3,3,3,2,2,1,1,1,3,1,1,2,3,1,2,4,2,4,3,2,2,3,2,2,3,3,4,2,3,2,2,3,2,1,2,1,1,2
1,5,24,5,5,5,5,5,3,5,5,6,6,6,6,5,4,5,5,2,3,3,3,2,3,1,3,3,2,1,2,1,1,2,4,1,2,2,2,3,2,4,3,2,3,2,2,2,1,1,1,1,4,2,2,4,4,4,1,3,4,4,1,4,2,2,3,4,4,3,4,4,1,2,2,3,2,2,2,2,1,1,3,3,4,4,3,3,3,4,2,2,2,3,4,3,2,2,2,4,4
2,5,34,1,3,3,4,4,3,4,4,3,3,3,3,3,1,3,3,1,2,2,2,2,2,2,3,2,2,3,2,2,2,2,1,2,2,2,2,3,2,2,2,2,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2
2,5,24,5,6,6,7,7,6,6,6,6,6,6,5,5,3,2,2,2,2,3,3,2,3,3,3,3,3,1,2,2,2,1,1,3,2,3,1,1,3,3,2,2,3,2,1,1,2,1,1,3,4,4,4,4,4,4,3,5,3,4,2,2,2,3,4,2,1,3,4,4,1,4,2,4,1,3,4,1,1,4,3,2,4,1,2,4,3,4,4,4,4,1,3,1,3,4,1,1,3
2,5,24,5,6,7,6,6,7,7,5,7,7,7,7,7,6,6,7,1,2,2,2,3,3,3,3,2,3,3,3,1,3,1,3,1,3,1,2,3,3,3,2,2,3,3,2,2,2,1,3,2,5,3,3,1,1,1,1,3,4,1,4,4,5,2,1,3,1,1,1,3,2,4,4,1,2,1,4,2,1,1,4,4,3,2,5,3,3,4,2,3,1,2,2,4,4,5,3,4,3
2,5,24,5,5,3,5,6,6,6,6,6,6,6,6,6,6,6,6,1,2,2,3,2,2,2,4,2,3,4,2,2,3,2,2,1,2,2,3,3,3,3,4,2,2,2,3,2,1,1,1,1,2,1,2,4,5,5,1,4,4,3,1,2,1,1,1,4,4,1,2,1,3,3,1,1,3,1,4,4,1,3,2,3,4,3,2,1,2,4,1,3,1,3,3,4,4,4,4,4,5
2,5,23,3,3,1,1,5,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,1,3,1,2,2,2,1,1,1,1,1,1,2,3,1,1,1,2,3,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,3,3,3,2,1,3,2,1,1,1,1,2,1,1,1,3,1,1,2,1,2,2,1,2,2,1,1,1,1,1,2,3,3,1,1,1,1,1,1,1,1
2,5,22,4,6,5,6,5,4,5,4,4,4,4,3,1,4,4,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,3,1,1,1,2,2,3,1,1,1,1,3,1,1,2,1,1,1,1,1,1,3,1,1,4,1,1,1,1,1,1,1,4,2,4,2,1,1,1,1,4,1,1,2,3,1,2,1,1,1,1,1
2,5,24,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,4,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,2,2,2,2,2,2
1,5,23,5,5,3,5,6,5,2,5,6,5,6,6,6,4,3,5,2,3,2,3,2,3,3,3,2,3,2,3,2,2,2,2,2,2,2,2,3,2,3,2,3,3,2,3,2,2,1,1,3,3,4,3,4,3,3,3,3,4,2,3,4,2,3,4,2,3,3,3,4,2,3,2,3,2,2,3,2,2,4,2,3,4,2,2,4,4,3,3,3,2,2,2,2,2,3,2,4,3
2,5,23,3,2,1,2,1,1,5,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,1,2,2,3,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,4,5,1,2,4,3,2,1,2,3,2,2,2,2,1,1,1,1,2,2,1,1,1,1,3,3,2,2,1,2,2,1,1,1,1,3,4,2,3,4,3,2,4,3,2
2,5,22,3,3,3,3,3,4,4,3,5,4,5,5,3,3,3,3,2,2,2,3,3,2,2,3,2,3,2,2,2,2,3,2,2,2,2,2,3,3,3,2,3,3,3,2,2,2,3,3,3,2,3,3,3,4,4,4,3,3,2,2,3,3,2,3,2,2,2,2,2,2,2,3,3,2,3,3,2,2,2,3,3,2,2,3,2,2,3,2,3,2,3,3,2,3,3,3,2,2
2,5,22,5,3,2,5,2,1,1,1,4,4,5,2,2,3,2,2,1,1,1,2,2,2,1,2,1,3,2,1,1,1,1,1,3,1,1,1,3,1,1,1,1,3,2,1,1,1,1,1,1,1,1,3,1,4,4,3,3,3,3,1,2,1,3,4,3,1,2,1,1,1,1,1,3,1,1,1,1,3,2,1,1,3,1,1,1,3,2,4,3,1,1,1,1,1,1,2,4,4
2,5,24,2,5,2,2,1,1,2,2,5,5,5,4,3,2,2,5,1,2,2,2,3,3,3,2,2,2,2,2,2,2,1,1,2,2,2,2,2,3,3,2,3,3,2,2,1,1,1,1,1,2,2,3,3,2,1,1,3,2,2,2,3,1,2,2,2,1,1,2,3,1,2,1,3,2,2,2,1,1,4,2,4,2,1,2,2,2,2,3,3,1,1,1,1,1,2,3,2,3
